CourseId,과정,ExamId,구분,회차/파트,제목,상태,문항수,만점,연결 복습 회차
physics1-basic,물리1,physics1-basic-r02,주간복습,2,물리1 2회차 복습 테스트,ready,8,100,
physics1-basic,물리1,physics1-basic-r03,주간복습,3,물리1 3회차 복습 테스트,ready,7,100,
physics1-basic,물리1,physics1-basic-r04,주간복습,4,물리1 4회차 복습 테스트,ready,9,100,
physics1-basic,물리1,physics1-basic-r05,주간복습,5,물리1 5회차 중간평가,ready,15,100,
physics1-basic,물리1,physics1-basic-r06,주간복습,6,물리1 6회차 복습 테스트,ready,6,100,
physics1-basic,물리1,physics1-basic-r07,주간복습,7,물리1 7회차 복습 테스트,ready,7,100,
physics1-basic,물리1,physics1-basic-r08,주간복습,8,물리1 8회차 복습 테스트,ready,6,100,
physics1-basic,물리1,physics1-basic-r10,주간복습,10,물리1 10회차 복습 테스트,coming-soon,0,0,
physics1-basic,물리1,physics1-basic-r11,주간복습,11,물리1 11회차 복습 테스트,coming-soon,0,0,
physics1-basic,물리1,physics1-basic-r12,주간복습,12,물리1 12회차 복습 테스트,coming-soon,0,0,
physics1-basic,물리1,physics1-basic-r13,주간복습,13,물리1 13회차 복습 테스트,coming-soon,0,0,
physics1-basic,물리1,physics1-basic-r14,주간복습,14,물리1 14회차 복습 테스트,coming-soon,0,0,
physics1-basic,물리1,physics1-basic-r15,주간복습,15,물리1 15회차 복습 테스트,coming-soon,0,0,
physics1-basic,물리1,physics1-basic-r16,주간복습,16,물리1 16회차 복습 테스트,coming-soon,0,0,
physics1-advanced,물리1심화,physics1-advanced-r02,주간복습,2,물리1심화 2회차 복습 테스트,coming-soon,0,0,
physics1-advanced,물리1심화,physics1-advanced-r03,주간복습,3,물리1심화 3회차 복습 테스트,coming-soon,0,0,
physics1-advanced,물리1심화,physics1-advanced-r04,주간복습,4,물리1심화 4회차 복습 테스트,coming-soon,0,0,
physics1-advanced,물리1심화,physics1-advanced-r05,주간복습,5,물리1심화 5회차 복습 테스트,coming-soon,0,0,
physics1-advanced,물리1심화,physics1-advanced-r06,주간복습,6,물리1심화 6회차 복습 테스트,coming-soon,0,0,
physics1-advanced,물리1심화,physics1-advanced-r07,주간복습,7,물리1심화 7회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r01,주간복습,1,물리2 1회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r02,주간복습,2,물리2 2회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r03,주간복습,3,물리2 3회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r04,주간복습,4,물리2 4회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r05,주간복습,5,물리2 5회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r06,주간복습,6,물리2 6회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r07,주간복습,7,물리2 7회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r08,주간복습,8,물리2 8회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r09,주간복습,9,물리2 9회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r11,주간복습,11,물리2 11회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r12,주간복습,12,물리2 12회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r13,주간복습,13,물리2 13회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r14,주간복습,14,물리2 14회차 복습 테스트,coming-soon,0,0,
physics2-basic,물리2,physics2-basic-r15,주간복습,15,물리2 15회차 복습 테스트,coming-soon,0,0,
physics1-basic,물리1,physics1-basic-total-mechanics,총괄평가,역학 총괄평가,물리1 역학 총괄평가,ready,25,100,"physics1-basic-r02,physics1-basic-r03,physics1-basic-r04,physics1-basic-r05,physics1-basic-r06,physics1-basic-r07,physics1-basic-r08"
physics1-basic,물리1,physics1-basic-total-electromagnetism,총괄평가,전자기·파동 총괄평가,물리1 전자기·파동 총괄평가,ready,25,100,"physics1-basic-r10,physics1-basic-r11,physics1-basic-r12,physics1-basic-r13,physics1-basic-r14,physics1-basic-r15,physics1-basic-r16"
physics2-basic,물리2,physics2-basic-total-mechanics,총괄평가,역학 총괄평가,물리2 역학 총괄평가,coming-soon,0,0,"physics2-basic-r02,physics2-basic-r03,physics2-basic-r04,physics2-basic-r05,physics2-basic-r06,physics2-basic-r07,physics2-basic-r08,physics2-basic-r09"
physics2-basic,물리2,physics2-basic-total-electromagnetism,총괄평가,전자기·파동 총괄평가,물리2 전자기·파동 총괄평가,coming-soon,0,0,"physics2-basic-r11,physics2-basic-r12,physics2-basic-r13,physics2-basic-r14,physics2-basic-r15"
physics1-advanced,물리1심화,physics1-advanced-total,총괄평가,심화 총괄평가,물리1심화 총괄평가,coming-soon,0,0,"physics1-advanced-r02,physics1-advanced-r03,physics1-advanced-r04,physics1-advanced-r05,physics1-advanced-r06,physics1-advanced-r07"
